id,userid,title,description: Add in contextual info here. Do not repeat the title.,Source Event,Activity,Start time [yyyy],End time [yyyy],Location,Agent,Genre,Style & Movement,Object,Label,Value,Annotation URI,ca_sec_id,,EOL
event99,user2,Denis Mahon wrote to Dr Heinrich Bodmer.,"In this letter, written in July 1939, Mahon outlines the provenance of Annibale Carracci's painting 'The Coronation of the Virign' to Dr Heinrich Bodmer.",sourceevent195,Write,1939,,London,"Mahon, Denis|Kurz, Otto|Bodmer, Heinrich ",,,The Coronation of the Virgin,,,,9212a0bc-c6e4-11e2-8753-002590937d1c,,EOL
event98,user2,"Dr Heinrich Bodmer introduced the art historian, Otto Kurz, to Denis Mahon.",,sourceevent194,Introduce,1935,1939,London,"Mahon, Denis|Kurz, Otto|Bodmer, Heinrich",,,,,,,91bef4c6-c6e4-11e2-8753-002590937d1c,,EOL
event97,user2,Otto Kurz and Denis Mahon travelled to Stalinist Russia together.,Denis Mahon employed Otto Kurz to translate Italian and traveled with him to the Soviet Union to study the Italian masters there.,sourceevent193,Travel,1935,1939,Russia,"Mahon, Denis|Kurz, Otto",,,,,,,912fbf7c-c6e4-11e2-8753-002590937d1c,,EOL
event96,user2,Francesco Bartolozzi created an engraving of Guercino's drawing Four Women and a Child.,,sourceevent192,Engrave,1764,,Windsor Castle|London,"Bartolozzi, Francesco|Dalton, Richard|George III, King|Guercino",Christian Art,,Four Women and a Child,,,,90cd6d2c-c6e4-11e2-8753-002590937d1c,,EOL
event95,user2,Denis Mahon & Nicholas Turner wrote the catalogue for the drawings of Guercino in the Royal collection.,The drawings of Guercino in the collection of Her Majesty the Queen at Windsor Castle' (1989),sourceevent191,Write,1989,,Windsor Castle|London,"Mahon, Denis|Turner, Nicholas|Guercino",,Baroque,,,,,9087538c-c6e4-11e2-8753-002590937d1c,,EOL
event94,user2,Denis Mahon wrote to Dottoressa Della Pergola.,"In April 1956 Sir Denis Mahon wrote to Dottoressa Paola della Pergola and enclosed photos of some paintings that were formerly in the Borghese and Aldobrandini collections.At that time Paola Della Pergola was researching and documenting the Aldobrandini inventories and Mahon was preparing his exhibition Mostra dei Carracci, for Bologna in 1956. Mahon asks Pergola to write the exhibition catalogue entry for Carracci's 'Coronation of the Virgin'.",sourceevent190,Write,1956,,London|Italy,"Mahon, Denis|Pergola, Paola della|Carracci, Annibale",,,The Coronation of the Virgin,,,,9051ce7e-c6e4-11e2-8753-002590937d1c,,EOL
event93,user2,Denis Mahon's exhibition Mostra dei Carracci took place in Bologna.,,sourceevent189,Exhibit,1956,,Bologna,"Mahon, Denis|Carracci, Annibale",,Classicism,,,,,901909b8-c6e4-11e2-8753-002590937d1c,,EOL
event92,user2,Paola della Pergola researched and documented the Aldobrandini inventories.,,sourceevent188,Research,1956,,Rome,"Pergola, Paola della",,,,,,,8fe014dc-c6e4-11e2-8753-002590937d1c,,EOL
event91,user2,Francesco Bartolozzi died.,,sourceevent187,Death,1815,,Lisbon,"Bartolozzi, Francesco",,,,,,,8f9594d4-c6e4-11e2-8753-002590937d1c,,EOL
event90,user2,Francesco Bartolozzi was born.,,sourceevent186,Birth,1725,,Florence,"Bartolozzi, Francesco",,,,,,,8f562e0c-c6e4-11e2-8753-002590937d1c,,EOL
event89,user2,Francesco Bartolozzi created an etching of Guercino's drawing The Assassination of Amnon.,,sourceevent185,Etch,1764,,Windsor Castle|London,"Bartolozzi, Francesco|Dalton, Richard|George III, King|Guercino",Christian Art,,The Assassination of Amnon,,,,8f20908a-c6e4-11e2-8753-002590937d1c,,EOL
event88,user2,"Bartolozzi was commissioned by Richard Dalton, Librarian to George III, to copy the Royal Collection of Guercino drawings.",,sourceevent184,Commission,1763,1765,Windsor Castle|London,"Bartolozzi, Francesco|Dalton, Richard|George III, King|Guercino",,,,,,,8ea9a1f0-c6e4-11e2-8753-002590937d1c,,EOL
event87,user2,Mahon presented his collection of drawings by Guercino to the Ashmolean Museum in Oxford.,,sourceevent183,Bequeath,1985,,Oxford,"Ashmolean Museum|Mahon, Denis|Guercino",,Baroque,,,,,8e715a84-c6e4-11e2-8753-002590937d1c,,EOL
event86,user2,Denis Mahon bought A Study of Putti for Aurora for £10 from R.E.A. Wilson.,"Mahon believed it was a preparatory drawing completed by Guercino. It has since been accepted that it is a study of putti for one of Guercino's masterpieces, the fresco 'Aurora' (1641-1643) which adorns the ceiling of Villa Ludovisi, in Rome.",sourceevent182,Acquire,1934,,London,"Mahon, Denis|Wilson, R.E.A.|Guercino",Mythological Art,Baroque,Study of Putti for Aurora,,,,8e2d5460-c6e4-11e2-8753-002590937d1c,,EOL
event85,user2,R.E.A. Wilson wrote a letter to Denis Mahon.,"The art dealer R.E.A. Wilson was convinced that a drawing of putti was by Poussin. He wrote to Sir Denis Mahon explaining that Erwin Rosenthal, who had studied Poussin and was about to publish a catalogue of his drawings, agreed with the attribution of the drawing.",sourceevent181,Write,1934,,London,"Mahon, Denis|Wilson, R.E.A.|Poussin, Nicholas",,,Study of Putti for Aurora,,,,8def0a70-c6e4-11e2-8753-002590937d1c,,EOL
event84,user2,Guercino painted the fresco Aurora in the Villa Ludovisi in Rome.,,sourceevent180,Paint,1641,1643,Villa Ludovisi|Rome|Italy,Guercino,Mythological Art,Baroque,,,,,8d93c2aa-c6e4-11e2-8753-002590937d1c,,EOL
event83,user2,"Pietro Faccini created the drawing, Bust of a young woman.",,sourceevent179,Draw,1582,1602,Bologna,"Faccini, Pietro",Portraiture,,Bust of a young woman,,,,8d3be652-c6e4-11e2-8753-002590937d1c,,EOL
event82,user2,Pietro Faccini was born.,,sourceevent178,Birth,1562,,Bologna,"Faccini, Pietro",,,,,,,8cdaaf04-c6e4-11e2-8753-002590937d1c,,EOL
event81,user2,Pietro Faccini died.,,sourceevent177,Death,1602,,Bologna,"Faccini, Pietro",,,,,,,8ca3dd4e-c6e4-11e2-8753-002590937d1c,,EOL
event80,user2,Pietro Faccini was a pupil of Annibale Carracci.,,sourceevent176,Teach,1582,1592,Bologna,"Faccini, Pietro|Carracci, Annibale",,,,,,,8c60bff0-c6e4-11e2-8753-002590937d1c,,EOL
event79,user2,Frits Lugt wrote to Denis Mahon.,"Included with this letter were a number of photographs of drawings from Lugt's collection, including Pietro Faccini (1562-1602) drawing of 'Bust of a young woman'",sourceevent175,Write,1952,,The Hague|London,"Mahon, Denis|Lugt, Frederik Johannes 'Frits'",,,,,,,8c0b1b04-c6e4-11e2-8753-002590937d1c,,EOL
event78,user2,Frederik Johannes “Frits” Lugt was born.,,sourceevent174,Birth,1884,,Amsterdam,"Lugt, Frederik Johannes “Frits”",,,,,,,8ba1afac-c6e4-11e2-8753-002590937d1c,,EOL
event77,user2,Frederik Johannes “Frits” Lugt died.,,sourceevent173,Death,1970,,Paris,"Lugt, Frederik Johannes “Frits”",,,,,,,8b491888-c6e4-11e2-8753-002590937d1c,,EOL
event76,user2,Torquato Tasso's Gerusalemme Liberata first appeared in a pirated edition.,,sourceevent172,Publish,1579,,Italy,"Tasso, Torquato",,,,,,,8ab52c5e-c6e4-11e2-8753-002590937d1c,,EOL
event75,user2,Denis Mahon wrote to Lord Silkin.,"Twice trustee of the National Gallery, London, Mahon crusaded tirelessly on its behalf. In a letter to Lord Silkin, he highlights the low level of funding available for purchasing pictures which was, he states, similar to the amount received in ‘Victorian times'.",sourceevent171,Write,1957,,London,"Mahon, Denis|Silkin, Lord|National Gallery London",,,,,,,8a8031a2-c6e4-11e2-8753-002590937d1c,,EOL
event74,user2,Michael Wynne wrote to Denis Mahon.,Michael Wynne wrote to congratulate Denis Mahon on his knighthood,sourceevent170,Write,1986,,London,"Mahon, Denis|Wynne, Michael",,,,,,,8a248438-c6e4-11e2-8753-002590937d1c,,EOL
event73,user2,Ernst Gombrich wrote to Denis Mahon.,Gombrich wrote to congratulate Denis Mahon on his knighthood,sourceevent169,Write,1986,,London,"Mahon, Denis|Gombrich, Ernst",,,,,,,89daed50-c6e4-11e2-8753-002590937d1c,,EOL
event72,user2,Peter Murray wrote to Denis Mahon.,Peter Murray wrote to congratulate Denis Mahon on his knighthood,sourceevent168,Write,1986,,London,"Mahon, Denis|Murray, Peter",,,,,,,8981de90-c6e4-11e2-8753-002590937d1c,,EOL
event71,user2,Denis Mahon was knighted.,,sourceevent167,Knight,1986,,London,"Mahon, Denis",,,,,,,8930dfcc-c6e4-11e2-8753-002590937d1c,,EOL
event69,user2,An edition of Cesare Ripa's Nova Iconologia was published in Padua.,"CESARE RIPA, Nova iconologia di Cesare Ripa perugino caualier de SS. Mauritio, & Lazzaro : Nella quale si descriuono diuerse imagini di virtù, vitij, affetti, passioni humane, arti, discipline, humori, elementi, corpi celesti, prouincie d' Italia, fiumi, tutte le parti del mondo, ed' altre infinite materie, (Padua 1618)",sourceevent165,Publish,1618,,Padua,"Ripa, Cesare",,,CESARE RIPA,,,,88f9fdf4-c6e4-11e2-8753-002590937d1c,"CESARE RIPA, Nova iconologia di Cesare Ripa perugino caualier de SS. Mauritio, & Lazzaro : Nella quale si descriuono diuerse imagini di virtù, vitij, affetti, passioni humane, arti, discipline, humori, elementi, corpi celesti, prouincie d' Italia, fiumi, tutte le parti del mondo, ed' altre infinite materie, (Padua 1618)",EOL
event68,user2,Raffaello Borghini's Il Riposo was published in Florence.,"Raffaello Borghini, Il riposo di Raffaello Borghini : in cvi della pittvra, e della scultura si fauella, de'piu illustri pittori, e scultori, et delle piu famose opere loro si fa mentione; e le cose principali appartenenti à dette arti s'insegnano, (Florence 1584)",sourceevent164,Publish,1584,,Florence,"Borghini, Raffaello",,,Il Riposo,,,,8873196a-c6e4-11e2-8753-002590937d1c,"RAFFAELLO BORGHINI, Il riposo di Raffaello Borghini : in cvi della pittvra, e della scultura si fauella, de'piu illustri pittori, e scultori, et delle piu famose opere loro si fa mentione; e le cose principali appartenenti à dette arti s'insegnano, (Florence 1584)",EOL
event67,user2,Giuseppe Ghezzi held the influential post of Permanent Secretary to the Accademia di San Luca.,,sourceevent163,Influential post,1678,1719,Rome,"Accademia di San Luca|Ghezzi, Giuseppe",,,,,,,880f3b20-c6e4-11e2-8753-002590937d1c,,EOL
event66,user2,Giuseppe Ghezzi published the reports of the Accademia di San Luca in Rome.,,sourceevent162,Publish,1713,,Rome,"Accademia di San Luca|Ghezzi, Giuseppe",,,,,,,87b4534a-c6e4-11e2-8753-002590937d1c,,EOL
