id,objectid,Creator Name,dob - day,dob - month,dob - year,approx,death - day,death - month,death - year,approx,,EOL
objectcreator1,object120,Sir Denis Mahon,8,11,1910,,24,4,2011,,object120|object114|object113|object110|object109|object107|object103|object94|object137|object142,EOL
objectcreator1b,object114,Sir Denis Mahon,8,11,1910,,24,4,2011,,object120|object114|object113|object110|object109|object107|object103|object94|object137|object142,EOL
objectcreator1c,object113,Sir Denis Mahon,8,11,1910,,24,4,2011,,object120|object114|object113|object110|object109|object107|object103|object94|object137|object142,EOL
objectcreator1d,object110,Sir Denis Mahon,8,11,1910,,24,4,2011,,object120|object114|object113|object110|object109|object107|object103|object94|object137|object142,EOL
objectcreator1e,object109,Sir Denis Mahon,8,11,1910,,24,4,2011,,object120|object114|object113|object110|object109|object107|object103|object94|object137|object142,EOL
objectcreator1f,object107,Sir Denis Mahon,8,11,1910,,24,4,2011,,object120|object114|object113|object110|object109|object107|object103|object94|object137|object142,EOL
objectcreator1g,object103,Sir Denis Mahon,8,11,1910,,24,4,2011,,object120|object114|object113|object110|object109|object107|object103|object94|object137|object142,EOL
objectcreator1h,object94,Sir Denis Mahon,8,11,1910,,24,4,2011,,object120|object114|object113|object110|object109|object107|object103|object94|object137|object142,EOL
objectcreator1i,object137,Sir Denis Mahon,8,11,1910,,24,4,2011,,object120|object114|object113|object110|object109|object107|object103|object94|object137|object142,EOL
objectcreator1j,object142,Sir Denis Mahon,8,11,1910,,24,4,2011,,object120|object114|object113|object110|object109|object107|object103|object94|object137|object142,EOL
objectcreator2,object133,John Hinde,17,5,1916,,26,12,1997,,,EOL
objectcreator3,object134,Giovanni Francesco Barbieri (Guercino),8,2,1591,,22,12,1666,,object134|object119|object118|object136|object507|object509|object510,EOL
objectcreator3b,object119,Giovanni Francesco Barbieri (Guercino),8,2,1591,,22,12,1666,,object134|object119|object118|object136|object507|object509|object510,EOL
objectcreator3c,object118,Giovanni Francesco Barbieri (Guercino),8,2,1591,,22,12,1666,,object134|object119|object118|object136|object507|object509|object510,EOL
objectcreator3d,object136,Giovanni Francesco Barbieri (Guercino),8,2,1591,,22,12,1666,,object134|object119|object118|object136|object507|object509|object510,EOL
objectcreator3e,object507,Giovanni Francesco Barbieri (Guercino),8,2,1591,,22,12,1666,,object134|object119|object118|object136|object507|object509|object510,EOL
objectcreator3f,object509,Giovanni Francesco Barbieri (Guercino),8,2,1591,,22,12,1666,,object134|object119|object118|object136|object507|object509|object510,EOL
objectcreator3g,object510,Giovanni Francesco Barbieri (Guercino),8,2,1591,,22,12,1666,,object134|object119|object118|object136|object507|object509|object510,EOL
