id,objectid,Label,Value,Unit
objectdimensions5,object7,height,36,cm
objectdimensions6,object7,width,38,cm
objectdimensions7,object132,height,18,cm
objectdimensions8,object132,width,12,cm
objectdimensions9,object134,height,170,cm
objectdimensions10,object134,width,211.5,cm
objectdimensions11,object135,height,117.8,cm
objectdimensions12,object135,width,141.3,cm
objectdimensions13,object136,height,20.9,cm
objectdimensions14,object136,width,25.4,cm
objectdimensions15,object132,height,18,cm
objectdimensions16,object132,width,12,cm
objectdimensions17,object86,height,73.66,cm
objectdimensions18,object86,width,73.66,cm
objectdimensions19,object89,heigth,23.5,cm
objectdimensions20,object89,depth,43,cm
objectdimensions21,object89,width,16,cm
objectdimensions22,object138,width,381,cm
objectdimensions23,object138,height,167.6,cm
objectdimensions26,object79,height,90,cm
objectdimensions27,object79,width,122,cm
objectdimensions33,object71,width,41,cm
objectdimensions34,object71,height,31.5,cm
objectdimensions35,object355,width,42,cm
objectdimensions36,object355,height,52,cm
objectdimensions37,object357,height,77,cm
objectdimensions38,object357,width,97,cm
objectdimensions39,object358,height,122.5,cm
objectdimensions40,object358,width,122.5,cm
objectdimensions41,object359,height,44.4,cm
objectdimensions42,object359,width,32.7,cm
objectdimensions43,object359,depth,8.9,cm
objectdimensions44,object360,height,10.5,cm
objectdimensions45,object360,width,28,cm
objectdimensions46,object360,depth,4,cm
objectdimensions47,object361,height,50.4,cm
objectdimensions48,object361,width,32.8,cm
objectdimensions49,object362,height,64,cm
objectdimensions50,object362,width,98,cm
objectdimensions51,object363,height,122.1,cm
objectdimensions52,object363,width,183.2,cm
objectdimensions53,object364,height,102,cm
objectdimensions54,object364,width,77,cm
objectdimensions55,object365,height,30,cm
objectdimensions56,object365,width,40.5,cm
objectdimensions57,object366,height,300,cm
objectdimensions58,object366,height,300,cm
objectdimensions59,object366,depth,300,cm
objectdimensions60,object367,height,37,cm
objectdimensions61,object367,width,46,cm
objectdimensions62,object368,height,122,cm
objectdimensions63,object368,width,152,cm
objectdimensions64,object601,height,248,cm
objectdimensions65,object601,width,217,cm
objectdimensions66,object602,height,75,cm
objectdimensions67,object602,width,100,cm
objectdimensions68,object603,height,48,cm
objectdimensions69,object603,width,63,cm
objectdimensions70,object604,height,54,cm
objectdimensions71,object604,width,73.7,cm
objectdimensions72,object605,height,55,cm
objectdimensions73,object605,width,65,cm
objectdimensions74,object606,height,92.7,cm
objectdimensions75,object606,width,73.7,cm
objectdimensions76,object607,height,255,cm
objectdimensions77,object607,width,205,cm
objectdimensions78,object608,height,59.7,cm
objectdimensions79,object608,width,73,cm
objectdimensions80,object609,height,59.6,cm
objectdimensions81,object609,width,80.2,cm
objectdimensions82,object610,height,61,cm
objectdimensions83,object610,width,99.7,cm
objectdimensions84,object612,height,13,cm
objectdimensions85,object612,width,8.5,cm
objectdimensions86,object522,height,84,cm
objectdimensions87,object522,width,67.3,cm
objectdimensions88,object523,height,25,cm
objectdimensions89,object523,width,18,cm
objectdimensions90,object525,height,37.8,cm
objectdimensions91,object525,width,47.5,cm
objectdimensions92,object527,height,64,cm
objectdimensions93,object527,width,92,cm
objectdimensions94,object701,height,40,cm
objectdimensions95,object701,width,40,cm
objectdimensions96,object50,height,108.5,cm
objectdimensions97,object50,width,108.6,cm
objectdimensions98,object61,height,183,cm
objectdimensions99,object61,width,244,cm
objectdimensions100,object63,height,61,cm
objectdimensions101,object63,width,46,cm
objectdimensions102,object64,height,81.3,cm
objectdimensions103,object64,width,61.1,cm
objectdimensions104,object64,depth,9.3,cm
objectdimensions105,object50,depth,15.4,cm
objectdimensions106,object702,height,182.6,cm
objectdimensions107,object702,width,140,cm
objectdimensions108,object702,depth,43.9,cm
objectdimensions109,object65,height,129.8,cm
objectdimensions110,object65,width,162.1,cm
objectdimensions111,object67,height,52,cm
objectdimensions112,object67,width,38,cm
objectdimensions113,object302,height,61,cm
objectdimensions114,object302,width,91,cm
objectdimensions115,object91,height,54.8,cm
objectdimensions116,object91,width,43.2,cm
objectdimensions117,object68,height,18,cm
objectdimensions118,object68,width,78,cm
objectdimensions119,object68,depth,7,cm
objectdimensions120,object87,height,120,cm
objectdimensions121,object87,width,120,cm
objectdimensions122,object704,height,98.9,cm
objectdimensions123,object704,width,99.5,cm
objectdimensions124,object704,depth,8.5,cm
objectdimensions125,object60,height,60,cm
objectdimensions126,object60,width,60,cm
objectdimensions127,object60,depth,60,cm
objectdimensions130,object85,height,10.5,cm
objectdimensions131,object85,width,28,cm
objectdimensions132,object85,depth,4,cm
objectdimensions133,object360,height,10.5,cm
objectdimensions134,object360,width,28,cm
objectdimensions135,object360,depth,4,cm
objectdimensions136,object59,height,175.9,cm
objectdimensions137,object59,width,175.8,cm
objectdimensions138,object139,height,31,cm
objectdimensions139,object139,width,41.4,cm
objectdimensions140,object75,height,30,cm
objectdimensions141,object75,width,23.2,cm
objectdimensions142,object75,depth,16,cm
objectdimensions143,object707,height,182.6,cm
objectdimensions144,object707,width,140,cm
objectdimensions145,object707,depth,43.9,cm
objectdimensions146,object708,height,49.1,cm
objectdimensions147,object708,width,39.1,cm
objectdimensions148,object76,height,107,cm
objectdimensions149,object76,width,107,cm
objectdimensions150,object90,height,77,cm
objectdimensions151,object90,width,64,cm
objectdimensions152,object709,height,61,cm
objectdimensions153,object709,width,91.5,cm
objectdimensions154,object78,height,160,cm
objectdimensions155,object78,width,160,cm
objectdimensions156,object100,height,160,cm
objectdimensions157,object100,width,173,cm
objectdimensions159,object102,width,152,cm
objectdimensions159,object102,height,152,cm
