id,userid,title,description,objects,references,events,private,ca_sec_id,EOL
objectstory100,user2,Sir Denis Mahon and his correspondence with Dottoressa Paola Della Pergola,"In April 1956 Sir Denis Mahon wrote to Dottoressa Paola della Pergola and enclosed photos of some paintings that were formerly in the Borghese and Aldobrandini collections.At that time Paola Della Pergola was researching and documenting the Aldobrandini inventories and Mahon was preparing his exhibition Mostra dei Carracci, for Bologna in 1956. Mahon asks Pergola to write the exhibition catalogue entry for Carracci's 'Coronation of the Virgin'.",object110,,event92|event94|event93,1,47066e86-c6e5-11e2-8753-002590937d1c,EOL
objectstory114,user2,Sir Denis Mahon's parents John Fitzgerald Mahon and Lady Alice Evelyn Mahon (nee Browne),"John Fitzgerald Mahon and Lady Alice Evelyn Mahon (nee Browne) are photographed outside Westport House, Co. Mayo. Of Irish decent, Sir Denis Mahon was the son of John FitzGerald Mahon, a member of the family that had prospered from the Guinness Mahon merchant bank, and the grandson, through his mother, Lady Alice Evelyn Browne, of the fifth Marquess of Sligo.",object92,,event255|event226,1,475152e8-c6e5-11e2-8753-002590937d1c,EOL
objectstory12,user2,"Westport House, Co. Mayo, Ireland","Built on the site of the O'Malley castle of Cathair na Mart by Colonel John Browne, expanded by his grandson to the design of German architect, Richard Cassels (1690–1751) in 1730, Westport House has remained in the possession of the Browne family for over 3 centuries. They still live there and the house and its grounds function as a major tourist attraction.",object133,,event255|event226,1,478d5806-c6e5-11e2-8753-002590937d1c,EOL
objectstory124,user2,"Denis Mahon's seminal publication 'Studies in seicento art and theory', (London, 1947)","Mahon's seminal publication on seventeenth-century Italian art is made up of a series of essays concerning the work of the artists Guercino, the Carracci brothers and the writings of the Bolognese art theorist Giovanni Battista Agucchi (1570-1632). This publication played a significant role in highlighting a period of art history that had long been neglected and helped to re-establish the importance and generate a renewed interest in the Italian baroque.",object142,,event208|event241|event242,1,47e71ef4-c6e5-11e2-8753-002590937d1c,EOL
objectstory126,user2,Saint Cecilia,"Marco Dente da Ravenna (1493-1527) after the engraving by Marcantonio Raimondi (1480-1534) after the painting by Raphael (1483-1520) Engraving, sixteenth century The original painting by Raphael resides in the Pinacoteca Nazionale, Bologna. Here, as in Raimondi's engraving, St Cecilia, the patron saint of musicians, is pictured below angels playing musical instruments. Standing on a book beside St Cecilia is a gryphon, an element introduced by Raimondi. According to Vasari, Marcantonio worked as an engraver in the service of Raphael. Dente studied under Marcantonio and was strongly influenced by his style.",object106,,event128|event129,1,48327804-c6e5-11e2-8753-002590937d1c,EOL
objectstory129,user2,Guercino's Biography,"Notizie della vita, e delle opere del cavaliere Gioan Francesco Barbieri, detto Il Guercino da Cento, celebre pittore, (Bologna 1808) Giovanni Francesco Barbieri was known as Il Guercino, meaning the squinter. Following the death of Guido Reni he became the leading painter of the Bolognese school and one of the most accomplished draughtsmen of the Italian Baroque. Mahon was passionate about the work of Guercino and throughout his lifetime published extensively on the artist, organised a number of exhibitions and purchased many of his works. Mahon's re- appraisal of Guercino has ensured that he is now recognised as one of the leading artists of the baroque period. Guercino's account book, preserved in the Biblioteca Communale del l'Archiginnasio, Bologna, was first published in this volume by J. A. Calvi. The original records payments for his commissions from 1629 until his death.",object129,,event205|event53|event54|event55|event56|event57|event59|event61|event403,1,48b20718-c6e5-11e2-8753-002590937d1c,EOL
objectstory13,user2,The Marquesses of Sligo,"This photograph depicts Henry Ulick Browne (1831–1913), the 5th Marquess of Sligo (and Sir Denis Mahon's grandfather) with his son, George Ulick Browne (1856–1935), the 6th Marquess, and grandson, Ulick John Browne (1898–1941), the 7th Marquess of Sligo.<br >Marquess of Sligo' is a title in the Peerage of Ireland. It was created in 1800 for John Browne (1756–1809), 3rd Earl of Altamont. The family seat is Westport House, Co. Mayo, Ireland.",object132,,event260|event261|,1,49049a0a-c6e5-11e2-8753-002590937d1c,EOL
objectstory14,user2,"Sir Denis Mahon's Uncle, the 6th Marquess of Sligo","George Ulick Browne was the 6th Marquess of Sligo and the brother of Lady Alice Mahon. He travelled greatly; this photograph is from his travels in India. A note on the reverse of the photograph states: ""The 6th Marquess as a Bengal Lancer."" Browne kept journals and sketchbooks on his travels, a number of which are held in the collection of the National Library of Ireland.He married Agatha Stewart Hodgson on 12 October 1887 and died on 26 February 1935 at age 78.",object132,,event260|event261|,1,4936c872-c6e5-11e2-8753-002590937d1c,EOL
objectstory15,user2,The provenance of Carracci's painting 'The Coronation of the Virgin',"This picture—a pivotal work—was painted for Cardinal Pietro Aldobrandini shortly after Annibale's arrival in Rome in 1595; it remained in the Aldobrandini collection until 1800.<br >The painting is first documented in the inventory of 1603 of the possessions of Cardinal Pietro Aldobrandini, Pope Clement VIII’s nephew.It has been suggested that the painting was a diplomatic gift to Aldobrandini—possibly from Odoardo Farnese. The original purpose of the canvas is also not known. It is likely to have been a devotional image for the cardinal, and may have been used as an altarpiece in his private chapel.<br >By the mid-seventeenth century, the Coronation of the Virgin was recorded in the Aldobrandini Villa at Monte Magnanapoli on the Quirinal in Rome.<br >It remained in the Aldobrandini family and then passed through the hereditary line to the Pamphilj and Borghese families. The dealer Alexander Day bought the painting in Rome, before 1803, from Prince Borghese and brought it to England. It subsequently belonged to the poet Samuel Rogers (1833–55), the Dukes of Newcastle (1856–1937) and the art historian Sir Denis Mahon (1939–71).",object135 ,,event99|event100|event183|event182|event188|event191,1,49a9cb74-c6e5-11e2-8753-002590937d1c,EOL
objectstory16,user2,Sir Denis Mahon's early attempts to exhibit Guercino's painting 'Jacob Blessing the Sons of Joseph' (1620).,"Sir Denis hoped to exhibit his recently acquired Guercino painting at the annual winter exhibition at the Royal Academy in 1934. Kenneth Clark, wrote to Mahon explaining that he was unsure if they would be able to include a painting of such scale.",object104|object134,,event192|event194|event232,1,4a003bc6-c6e5-11e2-8753-002590937d1c,EOL
