id,userid,setid,text,object_story,EOL
snapshot1,user2,set1,"‘Decoration’ by Irish artist, Mainie Jellett, was painted in 1923. <br >To many visitors to the national Gallery of Ireland, this painting is a fairly unremarkable abstract painting; it doesn’t pack as much of a punch as the 'Taking of Christ' by Caravaggio, or 'The Opening of the Sixth Seal', by Francis Danby. However, when Mainie Jellett first exhibited 'Decoration' in the St Stephen’s Green gallery- run by the Society of Dublin Painters- in 1923, it provoked a strong emotional reaction from the Irish public; people hurled vitriolic comments and negativity at Mainie Jellett, and at modern art in general.",objectstory300,EOL
snapshot2,user2,set2,"""‘Decoration’ by Irish artist, Mainie Jellett, was painted in 1923. <br >To many visitors to the national Gallery of Ireland, this painting is a fairly unremarkable abstract painting; it doesn’t pack as much of a punch as the 'Taking of Christ' by Caravaggio, or 'The Opening of the Sixth Seal', by Francis Danby. However, when Mainie Jellett first exhibited 'Decoration' in the St Stephen’s Green gallery- run by the Society of Dublin Painters- in 1923, it provoked a strong emotional reaction from the Irish public; people hurled vitriolic comments and negativity at Mainie Jellett, and at modern art in general.""",objectstory300,EOL
snapshot3,user2,set3,"Sir William Orpen’s academically accomplished portrait of tenor Sir John McCormack was painted in 1923. Orpen, who taught for a time at the Dublin Metropolitan school of Art, was thoroughly academic painter who instilled in his students the importance of drawing from life, and who rejected modernist trends emerging in mainland Europe.",objectstory302,EOL
snapshot4,user2,set4,"Jack B. Yeats painted his expressive visual document of the annual Dublin race- the Liffey Swim- in 1923. Yeats recorded modern Irish life - the Irish people, countryside and sporting events – in a loose painterly manner, and went on to win a silver medal at the Olympics for this painting.",objectstory303,EOL
snapshot5,user2,set5,"When 'Decoration' was first exhibited, one bamboozled reviewer for the Irish Times wrote:<br >“Miss Maimie [sic] Jellett is showing two paintings and two drawings. I fear that I did not in the least understand her two paintings. They are in squares, cubes, odd shapes and clashing colours. They may, to the man who understands the most up-to-date modern art mean something; but to me they presented an insoluble puzzle.”<br >A couple of days later, the Irish Times published a piece under the title 'Two Freak Pictures' consisting a photo of Mainie’s painting 'Decoration' alongside a photograph of a deformed onion that resembles a sitting bird. Readers were asked to provide a solution to this insoluble puzzle! This reaction from a supposedly objective news source really illustrates just how completely confused and shocked the Irish public were by Mainie’s abstraction. This is particularly interesting if you consider that Cubism was not a new and radical art movement in 1923.",objectstory301,EOL
snapshot6,user2,set6,"Mainie Jellett's 'Decoration' is a completely abstract, non-figurative painting – Jellett is not concerned with presenting us with a narrative, but in experimenting with form and colour. She was aiming for an art that went beyond pure description towards something deeper and more spiritual.<br >In one of her essays she wrote:<br >“My aim was to search into the inner rhythms and constructions of natural forms, to create on their pattern; to make a work of art a natural creation complete in itself, based on the eternal laws of balanced harmony and ordered movement. I sought the inner principle and not the outward appearance.”<br >This idea of seeking the inner principle and not the outward appearance is reminiscent of a quote about modern art by the 19th century French Symbolist poet, Paul Valery. Valery wrote that modern artists wanted “the grin without the cat” – in other words that they wanted to capture the sensation of life without the boredom of its conveyance- without illusionism or narrative, aiming instead for something deeper, more invisible, and in Mainie’s case, more spiritual than mere imitation.",objectstory305,EOL
snapshot7,user2,set7,"Mainie Jellett painted 'Decoration' in a Cubist style – layering geometric shapes on top of one another almost like a collage, flattening the pictorial space, and emphasising the two dimensionality of the painted surface. At this time, in the early 1920s, she was studying under the Cubist artist, Albert Gleizes, in Paris. She studied together with her friend, Evie Hone- another important Irish artist who went on to develop a successful career in stained glass. <br >The painting is resolutely flat, there is no illusion that the frame of the picture is a window into a 3-D space; the viewers’ eyes does not have the opportunity to journey into a receding background. Instead, the flat, mostly unmodulated, shapes are layered on top of one another emphasising that this is a 2-D painted surface – staying true to the materials.",objectstory307,EOL
snapshot8,user2,set8,"The term 'Cubism' is derived from a reference made to ‘geometric schemas and cubes’ by the critic Louis Vauxcelles in describing paintings, including this one, exhibited in Paris by Georges Braque in November 1908",objectstory312,EOL
snapshot9,user2,set9,"""Mainie Jellett's 'Decoration' is a completely abstract, non-figurative painting – Jellett is not concerned with presenting us with a narrative, but in experimenting with form and colour. She was aiming for an art that went beyond pure description towards something deeper and more spiritual.<br >In one of her essays she wrote:<br >“My aim was to search into the inner rhythms and constructions of natural forms, to create on their pattern; to make a work of art a natural creation complete in itself, based on the eternal laws of balanced harmony and ordered movement. I sought the inner principle and not the outward appearance.”<br >This idea of seeking the inner principle and not the outward appearance is reminiscent of a quote about modern art by the 19th century French Symbolist poet, Paul Valery. Valery wrote that modern artists wanted “the grin without the cat” – in other words that they wanted to capture the sensation of life without the boredom of its conveyance- without illusionism or narrative, aiming instead for something deeper, more invisible, and in Mainie’s case, more spiritual than mere imitation.""",objectstory305,EOL
snapshot10,user2,set10,"In 1921 Mainie Jellett travelled to Paris and studied under the Cubist artist Andre Lhote. Here she began her experimentations with Cubism, while still retaining, in her paintings, an identifiable subject such as figures, or still lifes. Her paintings from this time show her beginning to simplify and reduce forms to the bare essentials, however, she hasn’t yet begun to flatten and fragment her forms – the women in these paintings are rounded and robustly feminine. After a year, in 1922, Mainie felt that she had learned all she could from Lhote and was eager to explore non-representational art with Albert Gleizes.",objectstory310,EOL
